fid,code_giris,can_orient,city_irreg,wdt_str,alb,pop_den,veg_den,bld_hgt,no_wind_d,max_temp,max_dtemp,no_cloud,iuhi,veg_dt,veg_cost,veg_eff,alb_dt,alb_cost,alb_eff,cmb_dt,cmb_cost,cmb_eff,age_perc,pov_perc,alone_perc,dpe_perc,hvi
"345","3155527",S,irregular,4.86,0.1488,8805.77,0.39421,9.76,0.1117,27.35,10.53,27.0023,6.99,0.52,1.993,0.2757,0.73,2.2137,0.4075,1.25,4.2067,0.5441,14.71,38.81,48.84,31.37,16
"346","3155528",S,irregular,4.67,0.1506,4934.91,0.3689,6.36,0.0609,27.94,11.83,31.167,6.83,0.53,5.874,0.0534,1.01,7.4207,0.0943,1.53,13.2947,0.1181,20.58,14.7,45.33,40.8,15
"347","3155529",E,irregular,5.09,0.1408,7180,0.38232,6.33,0.1117,27.35,10.53,27.0023,5.4,0.53,3.245,0.1407,0.73,3.6171,0.2033,1.25,6.8621,0.272,16.6,29.73,38.55,18.31,11
"348","3155530",SW,irregular,4.42,0.1455,9376.92,0.41589,6.59,0.1117,27.35,10.53,27.0023,6.05,0.26,0.924,0.3166,0.87,2.156,0.531,1.13,3.08,0.7153,17.98,35.46,42.54,24.22,14
"349","3155531",SW,irregular,4.57,0.1496,5952,0.44274,5.61,0.0609,27.94,11.83,31.167,5.89,0.26,0.279,0.6656,1.01,3.6307,0.2324,1.27,3.9097,0.402,18.34,17.86,44.24,40.41,13
"350","3155532",SW,irregular,4.51,0.1489,10463.27,0.31236,6.5,0.0609,27.94,11.83,31.167,6.63,0.79,4.586,0.2163,0.87,2.6408,0.4837,1.65,7.2268,0.4968,13.5,40.05,36.42,27.27,14
"351","3155533",S,irregular,4.63,0.1479,10305.26,0.31005,7.03,0.0609,27.94,11.83,31.167,7.31,0.79,3.615,0.2703,1.11,2.9629,0.5418,1.9,6.5779,0.619,12.31,24.47,58.58,25.55,16
"352","3155534",S,irregular,4.56,0.1596,3628.77,0.40557,5.74,0.0609,27.94,11.83,31.167,6.2,0.26,4.477,0.0253,0.59,6.8749,0.0437,0.85,11.3519,0.0565,16.37,21.07,44.7,37.68,13
"353","3155535",S,irregular,4.8,0.146,5474.88,0.37791,6.8,0.0609,27.94,11.83,31.167,6.83,0.53,10.607,0.0328,0.87,12.0243,0.0556,1.39,22.6313,0.0699,13.09,16.24,51.89,22.25,14
"354","3155537",S,irregular,4.81,0.1604,3115.22,0.25237,5.97,0.0609,27.94,11.83,31.167,6.99,1.05,43.172,0.0091,0.83,23.808,0.0152,1.88,66.98,0.0182,14,15.77,47.49,23.87,13
"355","3155538",S,irregular,4.86,0.1519,4040.73,0.37472,5.41,0.0609,27.94,11.83,31.167,6.83,0.53,15.55,0.0165,0.87,16.3296,0.0302,1.39,31.8796,0.0366,6.85,16.93,46.79,11.6,11
"356","3155539",S,mixed,4.29,0.158,5615.46,0.37916,6.22,0.0609,27.94,11.83,31.167,6.52,0.52,4.704,0.0745,0.869999999999999,5.2613,0.1303,1.39,9.9653,0.1629,8.82,26.54,42.52,4.59,12
"357","3155540",SW,irregular,4.46,0.1601,4360.34,0.35057,5.75,0.0609,27.94,11.83,31.167,5.87,0.52,43.25,0.0063,0.59,30.8117,0.0117,1.11,74.0617,0.0136,9.95,17.46,43.03,12.38,10
"358","3155542",SW,irregular,4.01,0.145,7142.28,0.37504,6.13,0.0609,27.94,11.83,31.167,6.22,0.52,6.307,0.0707,1,8.6004,0.1165,1.53,14.9074,0.1524,17.23,16.45,44.36,30.6,12
"359","3155544",SE,irregular,4.43,0.1516,8506.52,0.38536,6.21,0.0609,27.94,11.83,31.167,6.3,0.52,2.038,0.2605,1.01,2.8646,0.4209,1.53,4.9026,0.552,16.4,20.86,43.09,27.91,12
"360","3155551",SW,irregular,4.8,0.147,4416.45,0.42377,5.23,0.1117,27.35,10.53,27.0023,5.9,0.26,2.794,0.0493,0.73,7.0715,0.064,0.99,9.8655,0.0922,9.31,27.89,40.23,16.09,12
"361","3155552",E,irregular,4.15,0.1465,9248.72,0.3425,5.05,0.1117,27.35,10.53,27.0023,6.35,0.78,5.713,0.1515,0.869999999999999,4.0578,0.2783,1.65,9.7708,0.3248,14.35,42.95,28.57,29.11,13
"362","3155553",E,irregular,4.28,0.1406,7101.9,0.38654,11.2,0.1117,27.35,10.53,27.0023,6.14,0.52,4.569,0.097,0.72,4.546,0.1578,1.25,9.115,0.2025,13.63,45.42,32.21,24.53,14
"363","3155554",S,irregular,5.02,0.1444,3577.36,0.30126,6.77,0.1117,27.35,10.53,27.0023,6.4,0.78,10.714,0.0313,0.87,6.8817,0.0635,1.65,17.5957,0.0698,17.8,35.3,41.4,34.53,16
"364","3155557",E,irregular,4.44,0.1561,3639.05,0.41808,4.27,0.1117,27.35,10.53,27.0023,5.48,0.26,3.755,0.0302,0.87,9.4174,0.0472,1.13,13.1724,0.0649,13.63,20.49,39.83,8.56,11
