fid,code_giris,can_orient,city_irreg,wdt_str,alb,pop_den,veg_den,bld_hgt,no_wind_d,max_temp,max_dtemp,no_cloud,iuhi,veg_dt,veg_cost,veg_eff,alb_dt,alb_cost,alb_eff,cmb_dt,cmb_cost,cmb_eff,age_perc,pov_perc,alone_perc,dpe_perc,hvi
"1","0100401",E,irregular,4.44,0.173,1102,0.38566,5.27,0.26,26.5,12.04,32.1739,5.64,0.52,24.257,0.0231,0.449999999999999,17.0415,0.0437,0.97,41.2985,0.0571,15.63,20.38,40.57,51.71,14
"2","0103302",S,irregular,4.53,0.1595,1717.01,0.44875,5.96,0.3217,25.29,11.41,74.9199,6.42,0.26,0.437,1,0.45,8.2886,0.1399,0.71,8.7256,0.3082,18.23,15.85,30.79,57.06,14
"3","0105301",E,irregular,4.28,0.1489,5202.8,0.05717,9.4,0.26,26.5,12.04,32.1739,7.63,2.09,28.444,0.3742,1.11,9.7395,0.89,3.2,38.1835,0.9617,22.56,15.6,60.87,48.01,19
"4","0105302",E,regular,4.37,0.16,3594.44,0.07701,5.77,0.26,26.5,12.04,32.1739,6.73,2.09,40.896,0.1798,0.73,9.7835,0.4025,2.82,50.6795,0.4411,18.54,16.6,48.61,36.22,14
"5","0105303",E,irregular,4.54,0.1545,3543.26,0.05929,6.61,0.26,26.5,12.04,32.1739,7.55,2.09,37.281,0.1944,1,10.2446,0.5191,3.1,47.5256,0.5098,20.91,14.27,52.33,36.27,17
"6","0105305",E,irregular,4.56,0.1659,2916.33,0.18594,5.46,0.26,26.5,12.04,32.1739,6.75,1.57,43.834,0.1022,0.59,11.6548,0.2216,2.16,55.4888,0.2504,22.19,20.99,43.79,28.85,14
"7","0105306",E,irregular,4.6,0.1734,1993.2,0.2227,5.84,0.26,26.5,12.04,32.1739,6.43,1.31,52.087,0.0491,0.73,17.6789,0.1235,2.04,69.7659,0.1286,22.62,24.27,40.9,31.75,16
"8","0128301",SW,irregular,4.62,0.1708,5918.49,0.20746,7.22,0.26,26.5,12.04,32.1739,6.79,1.31,19.562,0.388,0.59,5.2409,1,1.9,24.8029,1,15.73,30.28,27.11,42.59,13
"9","0216801",E,irregular,4.39,0.1432,3388.62,0.20854,8.24,0.1712,22.28,9.88,52.54,6.79,1.31,20.13,0.1309,0.87,6.6478,0.1238,2.18,26.7778,0.1327,18.94,22.11,53.24,57.61,17
"10","0216805",E,irregular,4.27,0.1485,5621.88,0.14717,6.77,0.1712,22.28,9.88,52.54,7.4,1.84,6.563,0.9352,0.73,1.5255,0.7508,2.56,8.0885,0.8557,13.42,37.91,31.49,65.12,18
"11","0234002",SE,irregular,5.02,0.1588,1853.91,0.30196,5,0.1162,23.23,10.79,22.3341,5.64,0.79,11.569,0.0751,0.73,3.7527,0.1006,1.52,15.3217,0.0884,20.07,17.44,32.97,43.06,13
"12","0240801",E,irregular,4.76,0.1541,2560.36,0.28089,5.75,0.1712,22.28,9.88,52.54,6.53,1.05,19.405,0.0822,0.73,5.7427,0.0908,1.78,25.1477,0.0872,15.25,44.25,42.25,59.3,18
"13","0240803",E,regular,4.63,0.1388,2619.67,0.19573,7.1,0.1162,23.23,10.79,22.3341,6.75,1.57,10.511,0.2322,1.28,3.6205,0.2585,2.86,14.1315,0.255,25.35,19.9,54.68,61.7,17
"14","0240804",SW,irregular,4.79,0.1429,2357.14,0.3108,5.67,0.1712,22.28,9.88,52.54,6.49,0.79,11.924,0.0927,0.52,4.4104,0.0776,1.31,16.3344,0.0909,20.29,20.98,44.09,46.82,16
"15","0240806",E,irregular,5,0.1441,2334.04,0.26214,5.6,0.1712,22.28,9.88,52.54,5.91,1.05,11.983,0.1214,0.86,4.807,0.1165,1.91,16.79,0.1277,18.2,18.08,44.84,65.12,15
"16","0269101",SE,irregular,5.1,0.1278,4828.4,0.09484,8.08,0.1162,23.23,10.79,22.3341,7.5,2.09,38.946,0.1537,1.63,16.1127,0.1363,3.72,55.0587,0.1569,18.51,22.56,51.34,53.23,18
"17","0269102",SW,irregular,4.86,0.1545,4274.57,0.30023,6.36,0.1162,23.23,10.79,22.3341,6.39,0.78,35.619,0.0555,0.859999999999999,19.2857,0.0532,1.65,54.9047,0.0618,22.79,23.8,43.7,52.72,17
"18","0269105",SW,irregular,4.67,0.1533,2458.24,0.24933,5.38,0.1162,23.23,10.79,22.3341,6.84,1.31,46.283,0.0413,0.87,19.7027,0.0303,2.18,65.9857,0.0391,20.18,26.29,37.74,59.5,16
"19","0272202",SW,irregular,4.68,0.1507,5840.63,0.2408,6.38,0.1162,23.23,10.79,22.3341,6.92,1.31,4.54,1,0.73,1.1899,1,2.04,5.7299,1,25.97,16.57,49.71,16.92,15
"20","0272203",E,regular,4.96,0.1537,1660,0.42205,4.82,0.1162,23.23,10.79,22.3341,4.84,0.26,2.247,0.114,0.72,3.8985,0.0856,0.99,6.1455,0.1286,29.71,9.48,35.89,59.7,13
"21","0272205",S,irregular,4.65,0.1461,3052.8,0.17815,6.83,0.1162,23.23,10.79,22.3341,7.77,1.57,46.043,0.0618,0.859999999999999,13.96,0.0525,2.43,60.003,0.0595,25.02,16.35,49.74,60.31,18
"22","0272206",S,irregular,4.89,0.1526,1559.38,0.34611,5.91,0.1162,23.23,10.79,22.3341,6.93,0.79,6.797,0.1075,0.52,3.0035,0.0753,1.31,9.8005,0.1002,9.96,37.15,26.49,27.78,12
"23","0272207",E,irregular,4.85,0.1466,2055.34,0.21421,5.24,0.1162,23.23,10.79,22.3341,6.61,1.31,16.463,0.097,0.86,5.7427,0.0859,2.17,22.2057,0.0966,20.47,14.69,44.59,55.03,16
"24","0272209",E,irregular,4.4,0.1468,1585,0.33911,6.21,0.1162,23.23,10.79,22.3341,6.03,0.79,10.574,0.0703,0.73,6.3054,0.0512,1.51,16.8794,0.0682,21.08,15.51,45.48,63.93,16
"25","0318501",S,irregular,4.53,0.1554,1651.77,0.31991,5.8,0.1291,23.71,11.57,20.1831,6.93,0.79,182.723,0.12,0.73,85.889,0.136,1.52,268.612,0.1281,27.27,19.71,50.27,68.28,19
"26","0319001",S,irregular,4.6,0.1544,2030.8,0.29581,5.9,0.4856,25.9,12.91,23.7986,7.34,1.05,91.135,0.3931,0.87,39.0155,0.4385,1.91,130.1505,0.4084,23.66,18.83,54.48,57.91,18
"27","0331001",S,irregular,4.54,0.1443,4023.73,0.22863,8.12,0.4856,25.9,12.91,23.7986,7.69,1.31,88.559,1,1.01,39.3545,1,2.32,127.9135,1,34.06,19.9,58.87,57.71,21
"28","0600401",S,irregular,4.09,0.1666,2827.72,0.39345,7.11,0.1094,26.21,7.67,15.5606,6.41,0.53,104.108,0.0025,0.59,110.7615,0.0018,1.12,214.8695,0.0023,26.13,13.96,43.06,20.08,14
"29","0601100",SW,irregular,4.17,0.1898,3284.91,0.31644,8.54,0.0778,26.29,5.39,58.7185,5.86,0.78,9.628,0.0464,0.590000000000001,5.6477,0.041,1.37,15.2757,0.0463,28.57,15.17,45.74,25.39,14
"30","0603001",S,irregular,4.11,0.1565,5661.17,0.41095,7.65,0.1945,27.66,10.61,41.0069,6.73,0.26,20.816,0.0123,0.87,36.8595,0.016,1.13,57.6755,0.0174,24.74,15.32,41.97,23.32,14
"31","0608301",SE,irregular,3.96,0.1793,7545,0.24143,10.93,0.0778,26.29,5.39,58.7185,7.22,1.31,25.463,0.0676,0.84,13.1057,0.0578,2.15,38.5687,0.0661,29.7,15.56,46.32,43.6,16
"32","0608801",S,irregular,3.68,0.1719,7117.65,0.33319,15.3,0.0778,26.29,5.39,58.7185,7.49,0.79,4.056,0.2416,0.94,4.0036,0.1998,1.73,8.0596,0.2402,25.75,27.25,56.92,33.9,18
"33","0608802",S,irregular,4.36,0.1717,19288.89,0.12246,13.33,0.0778,26.29,5.39,58.7185,8.53,1.83,13.971,0.4403,0.94,4.4477,0.4875,2.77,18.4187,0.456,24.56,18.44,51.15,27.51,17
"34","0608803",E,irregular,4.92,0.1585,25067.35,0.24115,13.22,0.0778,26.29,5.39,58.7185,7.45,1.31,6.941,0.8245,1.11,3.7053,0.898,2.42,10.6463,0.8958,25.41,17.89,51.74,31.13,17
"35","0608805",S,regular,4.14,0.1594,16852.35,0.32897,11.9,0.0778,26.29,5.39,58.7185,7.15,0.79,12.273,0.189,1.21,11.4955,0.2121,2,23.7685,0.2229,19.69,19.47,42.33,29.42,13
"36","0608806",S,irregular,4.52,0.1731,10859.6,0.22991,11.69,0.0778,26.29,5.39,58.7185,7.74,1.31,14.774,0.1678,0.84,6.7698,0.1611,2.15,21.5438,0.1704,18.53,23.52,40.45,37.02,16
"37","0608807",SW,irregular,5.37,0.1613,8321.25,0.29376,10.61,0.0778,26.29,5.39,58.7185,6.11,1.04,8.491,0.1776,0.590000000000001,3.4748,0.169,1.63,11.9658,0.1782,11.76,36.11,31.38,31.96,13
"38","0608810",SW,irregular,4.57,0.1548,5592.73,0.41748,8.55,0.0778,26.29,5.39,58.7185,5.94,0.26,4.978,0.0509,0.86,10.1497,0.0567,1.13,15.1277,0.0657,26.27,9.99,41.24,41.9,13
"39","0608811",S,irregular,4.57,0.1594,11602.78,0.27121,9.37,0.0778,26.29,5.39,58.7185,7.62,1.04,13.107,0.1604,1,6.8071,0.2038,2.05,19.9141,0.1878,24.13,13.97,46.47,43.81,16
"40","0608812",SE,irregular,4.57,0.1559,10061.11,0.40533,8.22,0.0778,26.29,5.39,58.7185,6.16,0.26,3.329,0.1369,0.87,5.0206,0.2085,1.13,8.3496,0.2141,22.77,17.29,35.48,28.02,12
"41","0608813",S,irregular,3.99,0.1702,16761.16,0.22748,9.51,0.0778,26.29,5.39,58.7185,8.11,1.31,18.256,0.2096,0.829999999999999,9.5327,0.1745,2.14,27.7887,0.2029,25.59,14.48,47.85,38.21,16
"42","0608814",S,irregular,4.34,0.1749,16825.93,0.13049,9.84,0.0778,26.29,5.39,58.7185,8.33,1.83,11.683,0.4593,0.93,4.1663,0.4491,2.77,15.8493,0.4623,23.48,16.94,45.51,49.55,18
"43","0608815",E,irregular,4.18,0.1716,23655.1,0.07772,12.88,0.0778,26.29,5.39,58.7185,7.96,2.09,12.346,0.6979,0.83,3.4951,0.6717,2.93,15.8411,0.6878,24.97,18.48,50.77,39.27,17
"44","0608816",S,irregular,4.17,0.1624,9736.69,0.34806,11.04,0.0778,26.29,5.39,58.7185,7.15,0.79,11.743,0.1142,0.840000000000001,11.8514,0.0825,1.62,23.5944,0.1051,25.19,14.54,43.12,44.67,15
"45","0608817",SW,irregular,4.71,0.1674,17226.92,0.17697,16.05,0.0778,26.29,5.39,58.7185,7.64,1.57,9.618,0.4901,0.83,3.6646,0.4666,2.4,13.2826,0.4893,21.69,21.33,48.17,27.02,16
"46","0608818",E,irregular,4.52,0.1639,22558.7,0.15497,14.2,0.0778,26.29,5.39,58.7185,7.44,1.57,9.192,0.6715,0.840000000000001,3.1697,0.7149,2.41,12.3617,0.6914,20.31,25.98,48.56,37.42,17
"47","0608819",S,irregular,4.1,0.1721,17984.21,0.1284,11.77,0.0778,26.29,5.39,58.7185,8.46,1.83,8.275,0.6931,0.830000000000001,2.8069,0.6359,2.66,11.0819,0.6786,23.52,22,48.24,40.48,18
"48","0608821",SE,irregular,4.11,0.161,9368.82,0.34369,9.29,0.0778,26.29,5.39,58.7185,6.34,0.79,6.736,0.1915,0.73,5.5833,0.1465,1.51,12.3193,0.1805,21.26,23.31,43.78,52.8,16
"49","0608822",SW,regular,4.53,0.1733,11509.38,0.18057,15.07,0.0778,26.29,5.39,58.7185,6.9,1.57,11.683,0.2695,0.83,4.1087,0.278,2.41,15.7917,0.2761,27.26,21.91,56.16,28.41,17
"50","0608823",S,mixed,4.04,0.1691,23908.82,0.11875,15.14,0.0778,26.29,5.39,58.7185,8.41,1.83,7.625,1,0.83,2.373,1,2.66,9.998,1,28.17,19.37,54.1,39.46,19
"51","0608824",S,mixed,4.54,0.1807,11844.12,0.12725,14.68,0.0778,26.29,5.39,58.7185,7.71,1.83,7.43,0.5084,0.59,2.0171,0.4143,2.42,9.4471,0.477,32.69,24.93,55.23,28.83,18
"52","0608825",S,regular,4.37,0.1725,20915.38,0.05081,14.49,0.0778,26.29,5.39,58.7185,8.32,2.1,10.535,0.7266,0.84,2.7222,0.7718,2.93,13.2572,0.7267,29.23,23.8,52.78,27.7,19
"53","0608826",SW,regular,4.99,0.1647,10584.91,0.16082,15.49,0.0778,26.29,5.39,58.7185,6.9,1.57,10.381,0.279,0.83,4.0138,0.2617,2.41,14.3948,0.2786,26.29,24.21,51.03,29.21,16
"54","0608827",SE,irregular,4.62,0.1605,6081.97,0.38076,9.66,0.0778,26.29,5.39,58.7185,6,0.52,8.676,0.0635,0.59,8.4682,0.0507,1.11,17.1442,0.0619,26.35,16.23,46.68,15.75,13
"55","0608828",SW,irregular,4.62,0.1659,8351.76,0.26255,9.28,0.0778,26.29,5.39,58.7185,6.6,1.05,25.314,0.0604,0.59,9.753,0.0604,1.64,35.067,0.0614,25.45,13.12,43.2,24.46,14
"56","0608829",SE,irregular,4.85,0.1651,9929.25,0.20263,10.89,0.0778,26.29,5.39,58.7185,6.99,1.31,24.645,0.092,0.73,7.8479,0.1104,2.04,32.4929,0.098,18.84,26.77,33.77,26.5,13
"57","0608830",SW,irregular,5.07,0.1899,1350.85,0.2624,10.43,0.0778,26.29,5.39,58.7185,5.58,1.05,59.579,0.0041,0.35,10.3836,0.0054,1.4,69.9626,0.0042,18.63,26.33,39.72,24.36,13
"58","0608831",S,irregular,4.99,0.173,2525.31,0.34472,7.81,0.0778,26.29,5.39,58.7185,6.78,0.78,23.243,0.0148,0.59,11.1531,0.016,1.37,34.3961,0.0158,12.29,9.63,35.82,8.85,9
"59","0612301",S,irregular,4.19,0.1741,3247.84,0.36567,7.69,0.0778,26.29,5.39,58.7185,6.52,0.52,54.545,0.0054,0.59,38.1206,0.006,1.11,92.6656,0.0061,22.86,10.97,39.32,17.01,12
"60","0701001",S,irregular,4.03,0.1685,1486.82,0.37754,7.92,0.1437,28.44,14.75,39.1304,6.51,0.52,28.214,1,0.59,21.4214,1,1.11,49.6354,1,25.87,15.34,48.54,37.6,15
"61","0810503",SE,irregular,5.2,0.1364,3024.81,0.31898,6.36,0.4046,23.52,12.53,17.7574,6.14,0.78,11.852,0.1851,1.28,8.5089,0.1279,2.07,20.3609,0.1825,27.43,15.45,54.17,55.85,17
"62","0810504",S,irregular,4.56,0.113,3516.98,0.15965,7.69,0.4046,23.52,12.53,17.7574,8.74,1.57,31.269,0.1642,2.04,15.5499,0.1297,3.61,46.8189,0.1609,21.19,19.63,59.19,45.2,19
"63","0810505",E,irregular,4.35,0.1293,3526.06,0.3394,7,0.4046,23.52,12.53,17.7574,6.54,0.79,10.697,0.2421,1.28,8.2953,0.1529,2.07,18.9923,0.228,20.26,24.15,55.35,48.21,18
"64","0810507",S,irregular,4.23,0.1443,1657.61,0.38909,5.2,0.4046,23.52,12.53,17.7574,6.7,0.52,13.999,0.0572,0.52,12.0413,0.0201,1.04,26.0403,0.0393,21.23,24.18,33.69,35.79,15
"65","0810508",S,regular,3.97,0.1353,8127.12,0.2518,7.01,0.4046,23.52,12.53,17.7574,7.69,1.05,7.933,1,1.15,2.6273,1,2.19,10.5603,1,16.86,49.41,40.08,26.15,17
"66","0810509",S,irregular,4.83,0.1366,1484.3,0.41303,5.69,0.4046,23.52,12.53,17.7574,6.85,0.26,5.715,0.0628,1.14,10.726,0.0443,1.4,16.441,0.075,17.81,27.82,47.16,60.57,16
"67","0840902",SE,irregular,3.88,0.1448,1610.98,0.35651,5.46,0.4046,23.52,12.53,17.7574,6.32,0.52,11.034,0.0706,0.73,7.4885,0.0441,1.25,18.5225,0.0645,23.06,24.12,46.89,64.1,17
"68","0840903",S,irregular,4.14,0.1298,3473.57,0.30792,9.14,0.4046,23.52,12.53,17.7574,7.44,0.79,13.521,0.1887,1.42,9.4649,0.1465,2.21,22.9859,0.1982,21.97,31.05,58.02,47.92,20
"69","1008102",SW,mixed,4.08,0.1685,6006.38,0.16337,5.56,0.168,25.66,13.9,25.1716,6.76,1.57,18.25,0.5445,0.59,4.8002,0.6145,2.16,23.0502,0.5562,17.3,38.59,37.97,49.06,16
"70","1026500",SE,irregular,4.02,0.1704,4062.67,0.2465,4.63,0.168,25.66,13.9,25.1716,6.61,1.31,10.353,0.5418,0.73,3.9765,0.6208,2.04,14.3295,0.5715,24.21,19.85,41.41,38.14,15
"71","1033302",SW,irregular,4.19,0.1655,4148.95,0.26297,4.69,0.168,25.66,13.9,25.1716,6.35,1.05,18.15,0.253,0.73,9.1327,0.2761,1.78,27.2827,0.2675,19.61,18.21,43.85,46.24,13
"72","1038701",SE,irregular,4.38,0.1602,5362.22,0.10868,8.76,0.168,25.66,13.9,25.1716,7.26,1.84,10.398,1,0.84,3.7493,1,2.67,14.1473,1,18.88,18.69,49.69,50.71,16
"73","1038702",SE,mixed,4.48,0.1619,4270.21,0.19923,5.97,0.168,25.66,13.9,25.1716,6.69,1.57,31.95,0.2211,0.73,12.3837,0.2095,2.3,44.3337,0.2189,18.41,16.24,49.69,51.32,16
"74","1038703",SW,irregular,4.12,0.1619,5593.42,0.1999,5.22,0.168,25.66,13.9,25.1716,6.99,1.57,12.881,0.7185,0.83,5.3494,0.7224,2.4,18.2304,0.7276,19.49,24.97,46.67,62.1,17
"75","1038704",SW,irregular,4.13,0.1634,2885.37,0.33993,4.55,0.168,25.66,13.9,25.1716,6.01,0.79,9.222,0.2605,0.73,6.7936,0.2581,1.52,16.0156,0.2706,18.41,22.73,39.79,36.32,14
"76","1038705",SE,irregular,4.08,0.1644,1826.47,0.28609,4.78,0.168,25.66,13.9,25.1716,6.21,1.05,15.139,0.1335,0.73,8.9428,0.1241,1.78,24.0818,0.1334,17.84,20.54,47.51,53.15,14
"77","1038706",SW,irregular,4.42,0.1605,4427.83,0.23774,4.65,0.168,25.66,13.9,25.1716,6.61,1.31,16.554,0.3693,0.73,6.8071,0.3953,2.04,23.3611,0.3821,18.14,24.68,46.52,34.59,15
"78","1038707",SW,irregular,4.35,0.1672,2689.86,0.4328,4.81,0.168,25.66,13.9,25.1716,5.48,0.26,1.818,0.4054,0.590000000000001,6.0478,0.2184,0.85,7.8658,0.2872,16.97,23.77,38.62,43.15,13
"79","1038708",SW,mixed,4.41,0.164,2703.75,0.31597,4.89,0.168,25.66,13.9,25.1716,5.7,0.78,14.583,0.1524,0.73,10.3904,0.1581,1.51,24.9734,0.1615,21.89,23.89,53.66,46.95,17
"80","1038709",SW,irregular,4.6,0.1545,5414.81,0.14572,6.81,0.168,25.66,13.9,25.1716,7.53,1.83,16.691,0.6257,1.11,6.6308,0.7545,2.94,23.3218,0.6745,24.52,23.2,60.14,47.2,20
"81","1038710",SE,irregular,4.32,0.1655,4719.85,0.22014,5.49,0.168,25.66,13.9,25.1716,6.73,1.31,21.193,0.3075,0.73,7.9292,0.3617,2.04,29.1222,0.3267,19.5,32.02,49.12,33.09,17
"82","1038711",SW,mixed,4.42,0.1404,5426.45,0.16939,9.58,0.168,25.66,13.9,25.1716,6.97,1.58,23,0.3929,1.22,11.4209,0.4825,2.79,34.4209,0.4346,18.68,26.41,61.42,48.41,18
"83","1106901",E,mixed,4.02,0.162,6229.27,0.08745,9.89,0.108,28.13,12.46,52.0366,7.17,2.1,20.122,1,0.84,6.6783,1,2.93,26.8003,1,21.16,34.04,62.26,25.86,18
"84","1106902",E,irregular,4.02,0.167,2777.37,0.21548,7.01,0.108,28.13,12.46,52.0366,6.53,1.31,21.78,0.257,0.83,10.2073,0.2882,2.14,31.9873,0.2728,24.39,24.87,55.46,23.15,16
"85","1106903",E,irregular,4.32,0.1704,2509.24,0.13569,5.05,0.108,28.13,12.46,52.0366,7.05,1.83,52.996,0.1333,0.73,13.3837,0.1747,2.56,66.3797,0.1421,22.12,26.85,34.06,10.3,13
"86","1106904",E,irregular,4.23,0.1672,2245.2,0.28067,4.83,0.108,28.13,12.46,52.0366,6.15,1.05,49.093,0.0739,0.590000000000001,17.5026,0.0966,1.64,66.5956,0.0812,23.96,22.32,37.56,11.15,12
"87","1106909",E,irregular,4.44,0.1725,2824.4,0.25994,5.35,0.108,28.13,12.46,52.0366,6.27,1.05,43.332,0.1053,0.73,17.5907,0.1496,1.78,60.9227,0.1212,25.43,23.44,41.36,18.42,14
"88","1126201",SW,irregular,3.8,0.1847,6607.96,0.16771,9.09,0.0371,26.79,6.84,36.9336,6.96,1.57,21.608,0.7385,0.59,7.6445,0.6509,2.16,29.2525,0.7165,29.35,29.51,59.04,27.3,18
"89","1126203",SW,irregular,4.31,0.1771,4260.75,0.17733,6.43,0.0998,28.52,12.37,83.4783,7.13,1.58,48.953,0.2115,0.84,17.1805,0.2659,2.41,66.1335,0.228,23.18,24.94,45.86,14.42,14
"90","1126204",E,irregular,4.55,0.1771,2265.32,0.22283,5.7,0.0371,26.79,6.84,36.9336,6.26,1.31,38.196,0.1195,0.73,14.0143,0.1506,2.04,52.2103,0.13,33.09,15.11,40.06,15.85,14
"91","1126205",E,irregular,4.19,0.1767,4635.17,0.21334,5.52,0.0371,26.79,6.84,36.9336,6.35,1.31,37.859,0.2467,0.73,14.2211,0.3037,2.04,52.0801,0.2666,23.59,28.74,38.08,9.18,12
"92","1217601",E,irregular,3.82,0.1454,3200,0.11561,5.75,0.2032,24.67,12.65,63.0664,7.71,1.84,37.128,0.0585,0.87,8.8954,0.0472,2.71,46.0234,0.0492,23.31,17.31,40.36,41.28,16
"93","1220201",S,irregular,4,0.1016,8196,0.07445,11.93,0.2032,24.67,12.65,63.0664,9.87,2.1,6.354,1,2.05,2.5357,1,4.15,8.8897,1,25,20.94,58.02,45.69,19
"94","1220202",SE,irregular,4.24,0.118,6482.14,0.1761,10.5,0.2032,24.67,12.65,63.0664,8.59,1.57,10.391,0.3616,1.94,5.1053,0.3717,3.51,15.4963,0.3837,17.55,19.78,52.53,50,18
"95","1220204",E,irregular,4.1,0.1408,3445.77,0.31945,8.84,0.2032,24.67,12.65,63.0664,6.36,0.79,12.609,0.0797,0.87,8.0445,0.0562,1.65,20.6535,0.0719,23.88,15.19,51.01,48.04,16
"96","1300101",E,irregular,3.88,0.1964,11520.29,0.06303,12.68,0.3515,28.54,12.69,47.2769,7.82,2.1,18.07,0.0975,0.59,4.2036,0.0725,2.69,22.2736,0.0878,17.92,24.41,65.92,38.63,18
"97","1300102",S,irregular,5.09,0.1859,6148.07,0.16207,8.07,0.3515,28.54,12.69,47.2769,7,1.57,35.3,0.0199,0.69,12.7634,0.0149,2.26,48.0634,0.0183,26.32,14.87,52.94,26.82,15
"98","1300103",E,irregular,5.1,0.1692,4842.16,0.25894,6.36,0.3515,28.54,12.69,47.2769,5.75,1.05,37.207,0.01,0.73,15.8618,0.01,1.78,53.0688,0.0103,22.41,13.6,48.4,23.23,13
"99","1300106",E,irregular,5.16,0.1687,8572.59,0.27909,8.04,0.3515,28.54,12.69,47.2769,5.9,1.05,15.665,0.0419,0.73,7.1766,0.0391,1.78,22.8416,0.0422,22.29,22.18,40.74,40.63,15
"100","1300501",SW,irregular,3.61,0.1745,12314.89,0.12411,9.35,0.1043,24.63,5.42,28.3295,7.73,1.83,10.371,0.1583,0.930000000000001,3.6849,0.1394,2.77,14.0559,0.1532,21.47,21.2,52.93,26.7,16
"101","1300502",E,irregular,4.03,0.1768,6306.8,0.25101,5.72,0.1043,24.63,5.42,28.3295,6.22,1.05,13.904,0.0347,0.73,5.1223,0.0403,1.78,19.0263,0.0373,19.23,13.5,34,24.1,11
"102","1300503",E,irregular,4.45,0.1818,2128.16,0.39839,4.96,0.1043,24.63,5.42,28.3295,5.17,0.52,7.315,0.011,0.34,6.1088,0.0053,0.87,13.4238,0.0087,21.06,14.52,36.93,17.97,11
"103","1300505",E,irregular,4.64,0.1679,6022.54,0.31136,6.11,0.1043,24.63,5.42,28.3295,5.95,0.78,6.692,0.0511,0.72,3.9087,0.0498,1.51,10.6007,0.0542,14.6,18.74,31.06,25.49,11
"104","1320101",E,irregular,4.6,0.164,21915.79,0.04952,16.34,0.1666,24.57,5.52,26.3616,8.32,2.36,10.298,0.3659,0.94,3.1019,0.2978,3.3,13.3999,0.3408,19.32,52.14,44.08,29.05,19
"105","1320102",SW,irregular,5.37,0.1306,22345.83,0.16016,16.45,0.1666,24.57,5.52,26.3616,7.83,1.57,4.712,0.5424,1.53,2.2171,0.6916,3.1,6.9291,0.6312,15.23,32.7,46.49,21.78,16
"106","1320103",SW,irregular,4.26,0.1496,25333.33,0.03734,16.86,0.1666,24.57,5.52,26.3616,8.81,2.09,3.857,1,1.11,1.2611,1,3.2,5.1181,1,13.74,48.24,47.89,36.9,19
"107","1320104",E,mixed,3.96,0.1617,14536.84,0.02527,17.74,0.1666,24.57,5.52,26.3616,8.11,2.36,5.46,0.4577,0.84,1.3967,0.3921,3.19,6.8567,0.427,16.09,34.3,59.69,24.25,18
"108","1320105",SW,irregular,4.43,0.1618,13298.41,0.09385,12.98,0.1666,24.57,5.52,26.3616,7.89,2.1,15.188,0.1339,0.84,4.7087,0.1064,2.93,19.8967,0.1236,17.4,25.98,47.54,28.6,15
"109","1320106",S,irregular,4.5,0.1492,19770,0.09605,13.79,0.1666,24.57,5.52,26.3616,9.04,2.09,4.792,0.6281,1.11,1.6679,0.5901,3.2,6.4599,0.6183,14.38,31.63,51.84,28.67,18
"110","1320202",SE,irregular,4.1,0.1657,20793.1,0.04065,15.21,0.1666,24.57,5.52,26.3616,8.54,2.36,8.033,0.445,0.839999999999999,2.2442,0.349,3.19,10.2772,0.4075,16.78,38.8,46.47,29.67,17
"111","1320203",E,irregular,4.23,0.1788,15073.53,0.04472,15.02,0.1666,24.57,5.52,26.3616,8.11,2.36,9.324,0.2779,0.829999999999999,2.4103,0.2328,3.19,11.7343,0.2587,23.79,28.46,58.11,26.72,17
"112","1320204",S,regular,4.64,0.1942,12301.41,0.06962,18.55,0.1666,24.57,5.52,26.3616,7.9,2.1,18.278,0.103,0.590000000000001,4.0985,0.0794,2.69,22.3765,0.0934,12.76,31.07,44.19,21.03,16
"113","1320301",E,irregular,4.07,0.1696,16306.02,0.20673,8.84,0.1666,24.57,5.52,26.3616,6.88,1.31,13.685,0.1137,0.93,6.5495,0.1038,2.24,20.2345,0.114,15.52,43.38,45.87,41.93,17
"114","1320302",S,irregular,4.79,0.1672,21060,0.13229,13.89,0.1666,24.57,5.52,26.3616,8.57,1.83,11.832,0.2373,0.83,4.19,0.1871,2.67,16.022,0.2216,15.72,45.16,40.57,29.39,18
"115","1320303",SE,irregular,4.66,0.1685,17520.25,0.1579,8.17,0.1666,24.57,5.52,26.3616,7.37,1.57,15.63,0.1282,0.83,6.0308,0.1081,2.41,21.6608,0.1231,11.77,52.95,33.25,35.26,17
"116","1320304",SE,regular,5.37,0.1676,22142.11,0.1773,14.11,0.1666,24.57,5.52,26.3616,6.47,1.57,7.02,0.3607,0.83,2.8713,0.287,2.4,9.8913,0.3392,14.46,42.81,37.65,18.9,15
"117","1320401",S,irregular,4.41,0.1592,15393.62,0.16936,8.54,0.1666,24.57,5.52,26.3616,8.26,1.58,17.87,0.0991,1.11,7.8241,0.0979,2.69,25.6941,0.1017,19.96,20.07,47,30.08,16
"118","1320402",SW,irregular,4.58,0.1595,15221.67,0.11097,8.62,0.1666,24.57,5.52,26.3616,7.56,1.83,13.771,0.1474,0.829999999999999,5.0036,0.1132,2.66,18.7746,0.1362,17.39,22.7,46.89,42.12,16
"119","1320403",S,irregular,3.99,0.1555,14761.19,0.27492,7.31,0.1666,24.57,5.52,26.3616,8.03,1.05,7.963,0.1418,1.11,5.7494,0.1278,2.16,13.7124,0.1468,19.86,19.64,45.01,36.94,16
